IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc(Oc2ccccc2)cc1,-0.436855241,50.0,10.0,38.5,1.5,10.0,6.502790045915625,1,31,11.9937,0.666666667,65.07,0,6,48,665.5019242,200.011,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc(OCCCCCCCC)cc1,-0.83210581,50.0,10.0,38.5,1.5,10.0,6.555524729787673,1,37,12.9407,0.818181818,65.07,0,6,50,701.5958246,212.366,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)C1CCC1,-0.785374926,50.0,10.0,38.5,1.5,10.0,6.315171727393194,1,29,9.5493,0.941176471,55.84,0,5,39,551.4913596,164.052,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2c(c1)Cc1cc(N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)ccc1-2,-1.277147572,50.0,10.0,38.5,1.5,10.0,7.055141128856507,2,58,20.2874,0.780821918,111.68,0,10,83,1156.935769,348.79,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2c(c1)CCCC2,0.01784778,50.0,10.0,38.5,1.5,10.0,6.444123307543251,1,29,11.0802,0.8,55.84,0,5,45,627.5226597,190.137,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2c(c1)OCCO2,1.818903993,50.0,10.0,38.5,1.5,10.0,6.450374050991938,1,29,9.9726,0.789473684,74.3,0,7,45,631.4811888,184.485,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2c(c1)OCO2,-1.277147572,50.0,10.0,38.5,1.5,10.0,6.4279630977963205,1,29,9.9301,0.783783784,74.3,0,7,44,617.4655387,179.618,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2cc3ccccc3cc2c1,-1.277147572,50.0,10.0,38.5,1.5,10.0,6.514746764366096,1,29,12.5078,0.636363636,55.84,0,5,49,673.5070096,208.507,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)C1CCc2ccccc21,0.179954645,50.0,10.0,38.5,1.5,10.0,6.421570233932455,1,29,10.6843,0.794871795,55.84,0,5,44,613.5070096,183.917,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1ccc2ccccc2c1-c1c(N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC)ccc2ccccc12,-0.379448563,50.0,10.0,38.5,1.5,10.0,7.128423769859706,2,59,22.6896,0.7,111.68,0,10,90,1244.967069,380.996,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1cccc(-c2ccccc2)c1,-0.348573318,50.0,10.0,38.5,1.5,10.0,6.478511178305701,1,30,11.8684,0.666666667,55.84,0,5,47,649.5070096,198.931,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1cccc(C(F)(F)F)c1,-0.245562548,50.0,10.0,38.5,1.5,10.0,6.465989191147642,1,29,11.2202,0.783783784,55.84,0,5,45,641.4630941,178.497,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1cccc(C)c1N(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,-0.403263723,50.0,10.0,38.5,1.5,10.0,6.989076246256733,2,58,19.02462,0.850746269,111.68,0,10,77,1082.920119,325.285,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)c1cccc(F)c1,-1.277147572,50.0,10.0,38.5,1.5,10.0,6.385013944268184,1,29,10.3405,0.777777778,55.84,0,5,42,591.4662877,173.453,True,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05,1.0
