Lipid_name,Num_carbon_in_tail,Num_tails,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A8_I4_T6,12,2,736.1799999999998,0,3
A8_I5_T6,12,2,736.1799999999997,0,3
A8_I6_T6,12,2,762.2179999999996,0,3
A8_I1_T7,9,2,890.3889999999996,0,3
A8_I2_T7,9,2,904.4159999999996,0,3
A8_I3_T7,9,2,932.4699999999996,0,3
A8_I4_T7,9,2,876.4499999999995,0,3
A8_I5_T7,9,2,876.4499999999994,0,3
A8_I6_T7,9,2,902.4879999999991,0,3
A8_I1_T8,18,2,714.177,2,3
A8_I2_T8,18,2,728.204,2,3
A8_I3_T8,18,2,756.2579999999999,2,3
A8_I4_T8,18,2,700.2379999999998,2,3
A8_I5_T8,18,2,700.2379999999997,2,3
A8_I6_T8,18,2,726.2759999999996,2,3
A9_I1_T1,18,2,923.4219999999996,4,4
A9_I2_T1,18,2,937.4489999999994,4,4
A9_I3_T1,18,2,965.5029999999994,4,4
A9_I4_T1,18,2,909.4829999999992,4,4
A9_I5_T1,18,2,909.4829999999992,4,4
A9_I6_T1,18,2,935.520999999999,4,4
A9_I1_T2,18,2,927.4539999999994,2,4
A9_I2_T2,18,2,941.4809999999992,2,4
A9_I3_T2,18,2,969.5349999999992,2,4
A9_I4_T2,18,2,913.5149999999992,2,4
A9_I5_T2,18,2,913.5149999999992,2,4
A9_I6_T2,18,2,939.552999999999,2,4
A9_I1_T3,10,2,698.9900000000001,2,4
A9_I2_T3,10,2,713.017,2,4
A9_I3_T3,10,2,741.071,2,4
A9_I4_T3,10,2,685.0509999999999,2,4
A9_I5_T3,10,2,685.0509999999998,2,4
A9_I6_T3,10,2,711.0889999999997,2,4
A9_I1_T4,18,2,915.4429999999996,1,4
A9_I2_T4,18,2,929.4699999999996,1,4
A9_I3_T4,18,2,957.5239999999994,1,4
A9_I4_T4,18,2,901.5039999999992,1,4
A9_I5_T4,18,2,901.5039999999992,1,4
A9_I6_T4,18,2,927.5419999999992,1,4
A9_I1_T5,18,2,813.2219999999999,2,4
A9_I2_T5,18,2,827.2489999999998,2,4
A9_I3_T5,18,2,855.3029999999998,2,4
A9_I4_T5,18,2,799.2829999999997,2,4
A9_I5_T5,18,2,799.2829999999996,2,4
A9_I6_T5,18,2,825.3209999999995,2,4
A9_I1_T6,12,2,763.1619999999998,0,4
A9_I2_T6,12,2,777.1889999999997,0,4
A9_I3_T6,12,2,805.2429999999997,0,4
A9_I4_T6,12,2,749.2229999999997,0,4
A9_I5_T6,12,2,749.2229999999996,0,4
A9_I6_T6,12,2,775.2609999999995,0,4
A9_I1_T7,9,2,903.4319999999996,0,4
A9_I2_T7,9,2,917.4589999999996,0,4
A9_I3_T7,9,2,945.5129999999996,0,4
A9_I4_T7,9,2,889.4929999999994,0,4
A9_I5_T7,9,2,889.4929999999993,0,4
A9_I6_T7,9,2,915.5309999999992,0,4
A9_I1_T8,18,2,727.22,2,4
A9_I2_T8,18,2,741.247,2,4
A9_I3_T8,18,2,769.3009999999999,2,4
A9_I4_T8,18,2,713.2809999999998,2,4
A9_I5_T8,18,2,713.2809999999997,2,4
A9_I6_T8,18,2,739.3189999999996,2,4
A10_I1_T1,18,2,980.5179999999992,4,5
A10_I2_T1,18,2,994.544999999999,4,5
A10_I3_T1,18,2,1022.598999999999,4,5
A10_I4_T1,18,2,966.578999999999,4,5
A10_I5_T1,18,2,966.5789999999988,4,5
A10_I6_T1,18,2,992.6169999999988,4,5
A10_I1_T2,18,2,984.549999999999,2,5
A10_I2_T2,18,2,998.576999999999,2,5
A10_I3_T2,18,2,1026.630999999999,2,5
A10_I4_T2,18,2,970.610999999999,2,5
A10_I5_T2,18,2,970.6109999999989,2,5
A10_I6_T2,18,2,996.6489999999988,2,5
A10_I1_T3,10,2,756.0859999999999,2,5
A10_I2_T3,10,2,770.1129999999998,2,5
A10_I3_T3,10,2,798.1669999999998,2,5
A10_I4_T3,10,2,742.1469999999997,2,5
