Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A37-T8,2,9,1180.7919999999992,4,3
A49-T9,2,8,1123.6959999999992,4,2
A4-T7,2,8,1097.6579999999988,4,2
A26-T7,2,8,629.9270000000002,2,1
A32-T7,2,8,678.0559999999999,2,3
A1-T7,2,8,1083.6309999999987,4,2
A63-T2,2,18,3380.399999999999,10,5
A16-T10,2,10,1667.4849999999997,6,1
A50-T8,2,9,619.9280000000001,2,1
A63-T9,2,8,2668.9699999999993,10,5
A4-T4,2,5,1013.495999999999,4,2
A71-T4,2,5,1022.462999999999,4,1
A48-T8,2,9,2219.338,8,4
A12-T9,2,8,688.0509999999998,2,3
A2-T1,2,18,1358.2079999999994,2,2
A45-T5,2,6,1109.668999999999,4,2
A45-T8,2,9,1193.830999999999,4,2
A6-T6,2,7,2107.1220000000003,8,4
A41-T5,2,6,563.8200000000004,2,1
A70-T5,2,6,1069.559999999999,4,2
A7-T6,2,7,1097.6579999999983,4,2
A48-T7,2,8,2163.2300000000005,8,4
A15-T3,2,18,2669.2299999999996,12,3
A52-T2,2,18,762.2139999999996,2,1
A27-T2,2,18,1422.295,4,2
A9-T8,2,9,1166.764999999999,4,3
A34-T10,2,10,3286.9659999999985,12,4
A20-T4,2,5,532.7660000000004,2,1
A48-T6,2,7,2107.122,8,4
A38-T9,2,8,1123.695999999999,4,2
A70-T6,2,7,1097.6139999999991,4,2
A52-T5,2,6,591.8740000000003,2,1
A20-T5,2,6,546.7930000000003,2,1
A29-T6,2,7,578.8790000000002,2,2
A70-T7,2,8,1125.6679999999992,4,2
A38-T8,2,9,1151.749999999999,4,2
A10-T2,2,18,1388.1929999999998,4,1
A21-T6,2,7,1129.6559999999988,4,2
A21-T7,2,8,1157.709999999999,4,2
A15-T4,2,5,1939.826,8,3
A13-T2,2,18,816.3099999999994,2,3
A19-T8,2,9,1137.7229999999993,4,2
A30-T6,2,7,1095.6419999999991,4,2
A70-T4,2,5,1041.5059999999992,4,2
A27-T10,2,10,1193.8309999999992,4,2
A45-T6,2,7,1137.722999999999,4,2
A23-T7,2,8,653.9490000000002,2,2
A7-T4,2,5,1041.5499999999986,4,2
A10-T7,2,8,1103.620999999999,4,1
A20-T6,2,7,560.8200000000003,2,1
A17-T5,2,6,1055.532999999999,4,2
A5-T7,2,8,1083.6309999999987,4,2
A12-T10,2,10,716.1049999999997,2,3
A40-T10,2,10,1180.791999999999,4,3
A47-T2,2,18,2028.2400000000007,6,3
A47-T10,2,10,1685.544,6,3
A41-T6,2,7,577.8470000000003,2,1
A15-T6,2,7,2052.042,8,3
A17-T8,2,9,1139.6949999999993,4,2
A10-T9,2,8,1103.620999999999,4,1
A19-T5,2,6,1053.560999999999,4,2
A13-T1,2,18,818.3259999999992,1,3
A29-T7,2,8,592.9060000000003,2,2
A28-T3,2,18,1435.2939999999994,6,3
A17-T3,2,18,1392.181,6,2
A22-T7,2,8,1103.620999999999,4,1
A26-T5,2,6,601.8730000000003,2,1
A41-T7,2,8,591.8740000000003,2,1
A21-T5,2,6,1101.6019999999987,4,2
A50-T10,2,10,633.955,2,1
A29-T1,2,18,737.2079999999997,1,2
A48-T5,2,6,2051.0140000000006,8,4
A26-T2,2,18,772.2129999999999,2,1
A42-T7,2,8,619.9280000000002,2,1
A53-T9,2,8,591.8740000000001,2,1
A8-T7,2,8,706.1099999999998,2,3
A26-T10,2,10,657.9810000000002,2,1
A69-T10,2,10,1165.7769999999991,4,2
A64-T4,2,5,1030.4789999999991,4,1
A13-T10,2,10,702.0779999999999,2,3
A6-T5,2,6,2051.0140000000006,8,4
A62-T4,2,5,1434.085999999999,6,2
A42-T6,2,7,605.9010000000003,2,1
A17-T6,2,7,1083.586999999999,4,2
A53-T10,2,10,619.928,2,1
A6-T9,2,8,2163.2300000000005,8,4
A41-T1,2,18,736.1759999999996,1,1
A47-T3,2,18,2022.1920000000007,9,3
A8-T8,2,9,720.1369999999997,2,3
A51-T6,2,7,591.8740000000003,2,1
A69-T4,2,5,1025.506999999999,4,2
A5-T8,2,9,1111.6849999999988,4,2
A3-T8,2,9,1139.738999999999,4,2
A16-T4,2,5,1457.0799999999997,6,1
A31-T4,2,5,2374.4429999999993,10,3
A44-T5,2,6,1095.6419999999991,4,2
A9-T10,2,10,1194.818999999999,4,3
A42-T10,2,10,647.9820000000001,2,1
A33-T3,2,18,2052.262000000001,9,3
A30-T10,2,10,1179.8039999999992,4,2
A53-T4,2,5,549.7930000000002,2,1
A50-T9,2,8,605.9010000000002,2,1
A39-T7,2,8,688.051,2,3
A34-T9,2,8,3118.641999999998,12,4
A18-T10,2,10,2192.3120000000004,8,3
A3-T6,2,7,1083.6309999999987,4,2
A39-T5,2,6,659.9970000000002,2,3
A52-T10,2,10,647.982,2,1
A26-T4,2,5,587.8460000000003,2,1
A44-T7,2,8,1151.7499999999989,4,2
A54-T7,2,8,664.969,2,2
A44-T2,2,18,1436.3219999999997,4,2
A52-T8,2,9,633.955,2,1
A52-T1,2,18,764.2299999999994,1,1
A54-T10,2,10,693.0229999999999,2,2
A29-T2,2,18,735.1919999999999,2,2
A8-T6,2,7,692.0829999999999,2,3
A70-T8,2,9,1153.7219999999993,4,2
A15-T8,2,9,2164.2580000000003,8,3
A32-T3,2,18,818.3259999999996,3,3
A36-T10,2,10,676.04,2,3
A45-T10,2,10,1221.8849999999989,4,2
A13-T8,2,9,688.0509999999999,2,3
A52-T7,2,8,619.9280000000001,2,1
A41-T2,2,18,734.1599999999997,2,1
A38-T7,2,8,1123.695999999999,4,2
A32-T6,2,7,664.029,2,3
A27-T9,2,8,1137.7229999999993,4,2
A3-T4,2,5,1027.5229999999988,4,2
A45-T1,2,18,1454.3809999999996,2,2
A23-T8,2,9,667.9760000000001,2,2
A10-T3,2,18,1384.1609999999998,6,1
A30-T9,2,8,1123.6959999999992,4,2
A41-T9,2,8,591.8740000000003,2,1
A17-T10,2,10,1167.7489999999991,4,2
A26-T9,2,8,629.9270000000002,2,1
A21-T4,2,5,1073.5479999999989,4,2
A54-T2,2,18,807.2549999999994,2,2
A39-T6,2,7,674.0240000000001,2,3
A12-T8,2,9,702.0779999999997,2,3
A45-T9,2,8,1165.776999999999,4,2
A15-T5,2,6,1995.9340000000004,8,3
A37-T7,2,8,1152.7379999999991,4,3
A1-T6,2,7,1055.5769999999986,4,2
A6-T7,2,8,2163.2300000000005,8,4
A44-T9,2,8,1151.7499999999989,4,2
A41-T3,2,18,732.1439999999999,3,1
A3-T5,2,6,1055.5769999999989,4,2
A45-T2,2,18,1450.3489999999997,4,2
A32-T1,2,18,822.3579999999993,1,3
A47-T1,2,18,2034.2880000000007,3,3
A6-T4,2,5,1994.906,8,4
A32-T5,2,6,650.0020000000001,2,3
A8-T5,2,6,678.0559999999999,2,3
A18-T9,2,8,2080.096,8,3
A53-T8,2,9,605.9010000000001,2,1
A32-T4,2,5,635.9750000000001,2,3
A26-T1,2,18,774.2289999999997,1,1
A1-T5,2,6,1027.522999999999,4,2
A58-T3,2,18,1365.155,6,1
A1-T4,2,5,999.468999999999,4,2
A64-T8,2,9,1142.6949999999988,4,1
A22-T6,2,7,1075.566999999999,4,1
A3-T7,2,8,1111.6849999999988,4,2
A27-T3,2,18,1418.263,6,2
A37-T10,2,10,1208.845999999999,4,3
A37-T9,2,8,1152.7379999999991,4,3
A38-T10,2,10,1179.803999999999,4,2
A22-T9,2,8,1103.620999999999,4,1
A13-T6,2,7,659.9970000000001,2,3
A8-T4,2,5,664.029,2,3
A17-T4,2,5,1027.4789999999991,4,2
A52-T6,2,7,605.9010000000002,2,1
A10-T6,2,7,1075.566999999999,4,1
A38-T5,2,6,1067.5879999999993,4,2
A16-T8,2,9,1625.4039999999998,6,1
A51-T7,2,8,605.9010000000002,2,1
A32-T2,2,18,820.3419999999994,2,3
A72-T9,2,8,623.9190000000004,2,1
A20-T10,2,10,602.9010000000001,2,1
A53-T7,2,8,591.8740000000001,2,1
A60-T2,2,18,1357.1319999999998,4,1
A51-T10,2,10,633.955,2,1
A54-T5,2,6,636.9150000000002,2,2
A46-T10,2,10,1179.803999999999,4,2
A60-T9,2,8,1072.559999999999,4,1
A40-T9,2,8,1124.683999999999,4,3
A6-T8,2,9,2219.3380000000006,8,4
A49-T8,2,9,1151.749999999999,4,2
A36-T8,2,9,662.013,2,3
A26-T3,2,18,770.197,3,1
A71-T10,2,10,1162.732999999999,4,1
A28-T8,2,9,1182.8079999999986,4,3
A53-T6,2,7,577.8470000000002,2,1
A37-T2,2,18,1437.31,4,3
A16-T5,2,6,1499.1609999999996,6,1
A29-T5,2,6,564.8520000000003,2,2
A41-T4,2,5,549.7930000000005,2,1
A10-T4,2,5,1019.4589999999992,4,1
A30-T4,2,5,1039.533999999999,4,2
A68-T9,2,8,1095.6419999999991,4,2
A52-T3,2,18,760.1979999999998,3,1
A20-T2,2,18,717.1329999999997,2,1
A46-T9,2,8,1123.695999999999,4,2
A35-T7,2,8,662.013,2,3
A28-T6,2,7,1126.699999999999,4,3
A69-T9,2,8,1109.6689999999992,4,2
A35-T8,2,9,676.04,2,3
A63-T1,2,18,3390.48,5,5
A51-T8,2,9,619.9280000000001,2,1
A50-T7,2,8,605.9010000000002,2,1
A23-T9,2,8,653.9490000000002,2,2
A64-T10,2,10,1170.748999999999,4,1
A30-T5,2,6,1067.587999999999,4,2
A54-T1,2,18,809.2709999999993,1,2
A53-T5,2,6,563.8200000000003,2,1
A42-T5,2,6,591.8740000000004,2,1
A32-T9,2,8,678.0559999999999,2,3
A6-T10,2,10,2275.4460000000004,8,4
A32-T10,2,10,706.1099999999998,2,3
A62-T6,2,7,1518.2479999999994,6,2
A20-T1,2,18,719.1489999999995,1,1
A43-T10,2,10,1165.776999999999,4,2
A22-T10,2,10,1159.728999999999,4,1
A30-T7,2,8,1123.6959999999992,4,2
A62-T10,2,10,1644.4909999999995,6,2
A10-T10,2,10,1159.728999999999,4,1
A37-T3,2,18,1433.278,6,3
A28-T5,2,6,1098.6459999999988,4,3
A28-T7,2,8,1154.7539999999988,4,3
A58-T4,2,5,1000.4529999999992,4,1
A66-T10,2,10,1154.705999999999,4,1
A60-T5,2,6,1016.4519999999992,4,1
A41-T8,2,9,605.9010000000002,2,1
A31-T9,2,8,2584.847999999999,10,3
A59-T3,2,18,2598.107,12,2
A42-T4,2,5,577.8470000000004,2,1
A23-T1,2,18,798.2509999999995,1,2
A58-T5,2,6,1028.506999999999,4,1
A51-T5,2,6,577.8470000000003,2,1
A13-T9,2,8,674.024,2,3
A60-T1,2,18,1361.1639999999998,2,1
A48-T10,2,10,2275.446,8,4
A9-T4,2,5,1054.5489999999988,4,3
A43-T9,2,8,1109.668999999999,4,2
A66-T8,2,9,1126.6519999999991,4,1
A29-T4,2,5,550.8250000000004,2,2
A45-T3,2,18,1446.3169999999998,6,2
A11-T4,2,5,703.0620000000001,2,2
A31-T10,2,10,2725.117999999999,10,3
A36-T6,2,7,633.9590000000002,2,3
A59-T5,2,6,1924.811,8,2
A50-T6,2,7,591.8740000000003,2,1
A37-T1,2,18,1441.342,2,3
A23-T3,2,18,794.2189999999998,3,2
A60-T7,2,8,1072.559999999999,4,1
A59-T9,2,8,2037.0270000000005,8,2
A49-T5,2,6,1067.587999999999,4,2
A60-T10,2,10,1128.667999999999,4,1
A71-T9,2,8,1106.624999999999,4,1
A62-T9,2,8,1560.3289999999995,6,2
A20-T3,2,18,715.1169999999998,3,1
A61-T9,2,8,1069.603999999999,4,2
A52-T4,2,5,577.8470000000003,2,1
A35-T6,2,7,647.9860000000001,2,3
A68-T10,2,10,1151.749999999999,4,2
A1-T10,2,10,1139.738999999999,4,2
A62-T8,2,9,1602.4099999999996,6,2
A19-T10,2,10,1165.7769999999991,4,2
A12-T4,2,5,645.97,2,3
A64-T5,2,6,1058.532999999999,4,1
A54-T3,2,18,805.2389999999996,3,2
A36-T7,2,8,647.9860000000001,2,3
A19-T9,2,8,1109.6689999999992,4,2
A42-T3,2,18,760.1979999999998,3,1
A5-T9,2,8,1083.6309999999987,4,2
A23-T2,2,18,796.2349999999997,2,2
A28-T4,2,5,1070.5919999999987,4,3
A30-T8,2,9,1151.749999999999,4,2
A13-T7,2,8,674.024,2,3
A61-T10,2,10,1125.7119999999989,4,2
A3-T10,2,10,1167.7929999999988,4,2
A67-T8,2,9,1112.624999999999,4,1
A47-T9,2,8,1601.3819999999996,6,3
A42-T2,2,18,762.2139999999996,2,1
A22-T5,2,6,1047.5129999999992,4,1
A2-T9,2,8,1069.603999999999,4,2
A39-T8,2,9,702.078,2,3
A62-T1,2,18,1993.2350000000008,3,2
A39-T9,2,8,688.051,2,3
A50-T5,2,6,577.8470000000002,2,1
A42-T1,2,18,764.2299999999994,1,1
A58-T9,2,8,1084.614999999999,4,1
A40-T4,2,5,1040.521999999999,4,3
A44-T3,2,18,1432.2899999999995,6,2
A62-T7,2,8,1560.3289999999995,6,2
A49-T6,2,7,1095.6419999999991,4,2
A40-T6,2,7,1096.629999999999,4,3
A65-T10,2,10,1142.6949999999988,4,1
A56-T4,2,5,958.3719999999992,4,1
A51-T4,2,5,563.8200000000004,2,1
A40-T7,2,8,1124.683999999999,4,3
A10-T5,2,6,1047.5129999999992,4,1
A2-T10,2,10,1125.7119999999986,4,2
