src_A,src_B,mean_tanimoto,max_tanimoto,n_pairs
AP_2025,LL_2012,0.3035104393904374,0.45454545454545453,62
KW_2014,SP_2020,0.3033450578505126,0.4117647058823529,310
LL_2025,LX_2024_3,0.3032451624556888,0.38333333333333336,4
BroadPharm_2024,NC_2024,0.30318806194501374,0.49019607843137253,387
AA_2008,SS_2018,0.30303576731559156,0.4716981132075472,24
BL_2023,LZ_2025,0.3030279861025754,0.41379310344827586,428
JM_2016,KW_2014,0.3030015309807285,0.6,696
KW_2014,YZ_2022,0.30269420741942443,0.4117647058823529,6543
KW_2014,YZ_2024,0.3026618371910212,0.4117647058823529,6233
SP_2020,ZL_2022,0.30259583244741683,0.43103448275862066,23
BL_2023,YR_2024,0.3024746090216266,0.5151515151515151,952
AP_2025,JW_2024,0.30219411903802923,0.4878048780487805,884
SB_2024,SX_2025,0.3019507018159883,0.34523809523809523,6
AA_2008,ZC_2023,0.3016496981761412,0.6428571428571429,334
JC_2023,SP_2020,0.3014436723956955,0.4838709677419355,69
SX_2025,ZH_2023,0.301409889322493,0.5180722891566265,202
AA_2008,JC_2023,0.3011966624266517,0.5,644
BL_2023,BroadPharm_2024,0.30079682957826115,0.582089552238806,868
JC_2023,YZ_2022,0.3007829258821239,0.4838709677419355,1441
JC_2023,YZ_2024,0.3007496959189778,0.4838709677419355,1372
LX_2024_2,RG_2023,0.3007007460344673,0.39473684210526316,374
AA_2008,BroadPharm_2024,0.3006778006847131,0.6341463414634146,564
YR_2024,YZ_2024,0.30048584719831856,0.40384615384615385,1324
BroadPharm_2024,ZL_2022,0.30045978179886157,0.5,103
JM_2016,NC_2024,0.3003973302708734,0.5636363636363636,186
YR_2024,YZ_2022,0.3003603785687556,0.40384615384615385,1390
SL_2020,YR_2024,0.30012207419289477,0.5079365079365079,106
LL_2025,LR_2023,0.29987019021422884,0.35526315789473684,7
KZ_2016,LR_2023,0.29960944039130627,0.5277777777777778,3475
BroadPharm_2024,KW_2014,0.29953032237884475,0.6046511627906976,1449
JW_2024,XH_2024,0.29936861992764086,0.5641025641025641,624
BroadPharm_2024,LL_2025,0.29910369324365504,0.3709677419354839,4
KZ_2016,LX_2024_2,0.2986690189812827,0.5714285714285714,1950
RG_2023,ZL_2022,0.29856550363819734,0.5,131
LL_2012,ZC_2023,0.29849695195182063,0.4027777777777778,82
BL_2023,ZC_2023,0.2982516442299372,0.5063291139240507,512
LZ_2025,YZ_2024,0.29824561403508776,0.2982456140350877,598
LZ_2025,YZ_2022,0.2982456140350877,0.2982456140350877,627
LZ_2025,SP_2020,0.29824561403508765,0.2982456140350877,29
BroadPharm_2024,JC_2023,0.2981131914533256,0.627906976744186,320
AP_2025,YX_2023,0.29799244292783295,0.44,104
AA_2008,YX_2024,0.29789233045838825,0.52,5706
SP_2020,YR_2024,0.2978434018181291,0.40384615384615385,66
JM_2016,XH_2024,0.29781996404430816,0.4406779661016949,44
AA_2008,JW_2024,0.2977456784743197,0.6724137931034483,3926
AP_2025,ZL_2022,0.29736346394245816,0.4098360655737705,48
BL_2023,KS_2024,0.29727675145967775,0.5510204081632653,636
KZ_2016,ZL_2022,0.2972682707580495,0.5102040816326531,675
YX_2023,ZC_2023,0.29696351615267086,0.6382978723404256,134
AA_2008,LX_2024_2,0.2965479755713527,0.6875,588
BL_2024,SY_2025,0.2963340997908149,0.4266666666666667,50
KZ_2016,SB_2024,0.29612584838641354,0.45,75
SP_2020,YY_2023,0.2955993836486949,0.40384615384615385,30
KL_2010,RG_2023,0.2955498669714799,0.4576271186440678,505
XH_2025,YX_2023,0.2949223609617085,0.5396825396825397,439
AP_2025,YR_2024,0.29452774247206676,0.46551724137931033,140
LL_2025,ZH_2023,0.29439096928253555,0.3333333333333333,5
JW_2024,LX_2024_2,0.29401505549233514,0.546875,2028
SS_2018,ZH_2023,0.2938886853970396,0.38235294117647056,15
BL_2024,NC_2024,0.2938633757974357,0.48214285714285715,1050
JW_2024,LL_2025,0.29379176595278217,0.3698630136986301,26
NC_2024,RG_2023,0.29354889855434985,0.42028985507246375,495
YY_2023,YZ_2022,0.29325112558465943,0.40384615384615385,644
BL_2024,KS_2024,0.2932434144680128,0.52,562
JM_2016,SB_2024,0.29318181818181815,0.37142857142857144,6
YY_2023,YZ_2024,0.29313638984863166,0.40384615384615385,614
NC_2024,XH_2024,0.2930793209327694,0.45098039215686275,123
XH_2024,YY_2023,0.29283755249976245,0.4186046511627907,46
NC_2024,SX_2025,0.29194722713236276,0.5245901639344263,206
LR_2023,XH_2024,0.29183306954375143,0.4307692307692308,167
KW_2014,SL_2020,0.2915358215595956,0.6666666666666666,500
LZ_2025,YX_2023,0.2901730446549044,0.3508771929824561,113
KS_2024,SY_2025,0.2897895200835726,0.3709677419354839,15
RG_2023,YX_2024,0.28921441499265016,0.4634146341463415,3628
LR_2023,SY_2025,0.28858561943150096,0.42857142857142855,35
KZ_2016,LZ_2025,0.2885600453081829,0.49056603773584906,925
AA_2008,LL_2012,0.28810700280685186,0.5084745762711864,278
SY_2025,YZ_2024,0.2879124580096553,0.36764705882352944,80
SP_2020,SY_2025,0.28791245800965526,0.36764705882352944,5
SY_2025,YZ_2022,0.28791245800965526,0.36764705882352944,85
AP_2025,BroadPharm_2024,0.2877641462605659,0.4027777777777778,126
SB_2024,XH_2025,0.2866478208329393,0.40540540540540543,21
AA_2008,AP_2025,0.28660547677471304,0.46153846153846156,254
KW_2014,RG_2023,0.2864575509833143,0.4915254237288136,1854
LZ_2025,XH_2025,0.2861722545638716,0.4583333333333333,267
LZ_2025,SL_2021,0.2857810198275545,0.4,335
LL_2025,LZ_2025,0.2857142857142857,0.2857142857142857,2
JC_2023,YX_2023,0.28517039739376626,0.5238095238095238,259
LL_2012,XH_2024,0.28516596598391,0.32786885245901637,45
SB_2024,SL_2020,0.28509615384615383,0.296875,3
BroadPharm_2024,LX_2024_2,0.28476380735325985,0.49122807017543857,292
KZ_2016,LL_2012,0.2844745911966875,0.53125,925
AP_2025,KS_2024,0.28444451651092506,0.40350877192982454,92
JC_2023,YY_2023,0.2838560696362104,0.43859649122807015,162
JL_2024,KS_2024,0.28381043526908273,0.5333333333333333,449
JC_2023,XH_2025,0.28369946320877054,0.5172413793103449,611
JC_2023,SS_2018,0.28369571588384895,0.4444444444444444,12
SS_2018,ZC_2023,0.2835366784681423,0.3611111111111111,6
AP_2025,KZ_2016,0.2825729751004221,0.45714285714285713,850
JL_2024,XH_2024,0.28215932298033225,0.4186046511627907,195
JC_2023,KW_2014,0.2821336344799238,0.55,1639
NC_2024,YX_2024,0.2821178892487615,0.49019607843137253,3894
AA_2008,KZ_2016,0.2820194055843376,0.7068965517241379,3775
AA_2008,YX_2023,0.28124692062464596,0.5185185185185185,461
RG_2023,SY_2025,0.281126235214183,0.3548387096774194,25
AP_2025,NC_2024,0.2810408554612693,0.4375,176
SX_2025,ZL_2022,0.2809852218734148,0.39285714285714285,54
AA_2008,XH_2024,0.2808283541149276,0.4375,183
SL_2020,SS_2018,0.2808270763811643,0.3387096774193548,3
SB_2024,ZH_2023,0.28070186745753295,0.40625,15
AP_2025,ZH_2023,0.2805717830438075,0.4594594594594595,172
JW_2024,SL_2020,0.28053943328313574,0.4383561643835616,676
JM_2016,YR_2024,0.2804345761774956,0.4666666666666667,148
XH_2025,YZ_2024,0.280219764042657,0.46875,2325
XH_2025,YZ_2022,0.28013605535043923,0.46875,2441
XH_2025,YX_2024,0.2800763230981616,0.5614035087719298,5444
AP_2025,JM_2016,0.2793849976997505,0.358974358974359,60
LZ_2025,RG_2023,0.27901498261348684,0.34375,177
