Lipid_name,Num_tails,MolWt,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_protonatable_nitrogens
2H4-SC8,2,874.389,8,0,1
1A2-SC9,1,501.778,9,0,3
2A2-SC9,2,846.295,9,0,3
2A6-SC9,2,817.253,9,0,2
2A12-SC9,2,821.241,9,0,2
3A1-SC9,3,1147.743,9,0,2
3A2-SC9,3,1161.77,9,0,2
4A4-SC9,4,1526.274,9,0,2
5A1-SC9,5,1853.808,9,0,3
5A2-SC9,5,1911.892,9,0,5
6A1-SC9,6,2256.409,9,0,5
6A2-SC9,6,2255.421,9,0,4
1H1-SC9,1,543.899,9,0,1
1H2-SC9,1,585.98,9,0,1
2H1-SC9,2,818.281,9,0,1
2H2-SC9,2,846.335,9,0,1
2H3-SC9,2,874.389,9,0,1
2H4-SC9,2,902.443,9,0,1
2H5-SC9,2,930.497,9,0,1
2H6-SC9,2,958.551,9,0,1
2A2-SC10,2,874.349,10,0,3
2A3-SC10,2,845.307,10,0,2
2A5-SC10,2,831.28,10,0,2
2A6-SC10,2,845.307,10,0,2
2A7-SC10,2,847.279,10,0,2
2A11-SC10,2,890.392,10,0,3
3A1-SC10,3,1189.824,10,0,2
3A2-SC10,3,1203.851,10,0,2
3A4-SC10,3,1193.812,10,0,2
4A4-SC10,4,1582.382,10,0,2
5A2-SC10,5,1982.027,10,0,5
5A3-SC10,5,1981.039,10,0,4
1H1-SC10,1,557.926,10,0,1
2H2-SC10,2,874.389,10,0,1
2H3-SC10,2,902.443,10,0,1
2H4-SC10,2,930.497,10,0,1
2H5-SC10,2,958.551,10,0,1
2A2-SC11,2,902.403,11,0,3
2A4-SC11,2,867.313,11,0,1
2A6-SC11,2,873.361,11,0,2
3A1-SC11,3,1231.905,11,0,2
3A2-SC11,3,1245.932,11,0,2
5A1-SC11,5,1994.078,11,0,3
5A4-SC11,5,2009.093,11,0,4
6A1-SC11,6,2424.733,11,0,5
1H2-SC11,1,614.034,11,0,1
2H3-SC11,2,930.497,11,0,1
2H4-SC11,2,958.551,11,0,1
