Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
A15C2B10,2,10.0,734.2519999999995
A15C3B10,2,10.0,762.3059999999994
A16C5B10,2,10.0,804.3869999999993
A16C4B10,2,10.0,806.4029999999995
A16C1B10,2,10.0,722.2409999999995
A16C2B10,2,10.0,750.2949999999994
A16C3B10,2,10.0,778.3489999999993
A17C5B9,2,9.0,777.3209999999995
A17C4B9,2,9.0,779.3369999999993
A17C1B9,2,9.0,695.1749999999997
A17C2B9,2,9.0,723.2289999999996
A17C3B9,2,9.0,751.2829999999996
A18C5B9,2,9.0,760.2899999999994
A18C4B9,2,9.0,762.3059999999995
A18C1B9,2,9.0,678.1439999999997
A18C2B9,2,9.0,706.1979999999995
A18C3B9,2,9.0,734.2519999999997
A19C5B9,2,9.0,761.2779999999993
A19C4B9,2,9.0,763.2939999999994
A19C1B9,2,9.0,679.1319999999996
A19C2B9,2,9.0,707.1859999999995
A19C3B9,2,9.0,735.2399999999997
A20C5B9,2,9.0,732.2359999999995
A20C4B9,2,9.0,734.2519999999996
A20C1B9,2,9.0,650.0899999999998
A20C2B9,2,9.0,678.1439999999997
A20C3B9,2,9.0,706.1979999999999
A1C5B9,2,9.0,720.2249999999996
A1C4B9,2,9.0,722.2409999999996
A1C1B9,2,9.0,638.0789999999998
A1C2B9,2,9.0,666.1329999999997
A1C3B9,2,9.0,694.1869999999999
A6C5B9,2,9.0,734.2519999999995
A6C4B9,2,9.0,736.2679999999996
A6C1B9,2,9.0,652.1059999999998
A6C2B9,2,9.0,680.1599999999996
A6C3B9,2,9.0,708.2139999999998
A3C5B9,2,9.0,762.3059999999994
A3C4B9,2,9.0,764.3219999999994
A3C1B9,2,9.0,680.1599999999996
A3C2B9,2,9.0,708.2139999999995
A3C3B9,2,9.0,736.2679999999997
A8C5B9,2,9.0,818.4139999999994
A8C4B9,2,9.0,820.4299999999992
A8C1B9,2,9.0,736.2679999999997
A8C2B9,2,9.0,764.3219999999995
A8C3B9,2,9.0,792.3759999999994
A2C5B9,2,9.0,760.2899999999994
A2C4B9,2,9.0,762.3059999999994
A2C1B9,2,9.0,678.1439999999997
A2C2B9,2,9.0,706.1979999999995
A2C3B9,2,9.0,734.2519999999996
A7C5B9,2,9.0,776.2889999999994
A7C4B9,2,9.0,778.3049999999994
A7C1B9,2,9.0,694.1429999999997
A7C2B9,2,9.0,722.1969999999995
A7C3B9,2,9.0,750.2509999999996
A4C5B9,2,9.0,748.2789999999994
A4C4B9,2,9.0,750.2949999999995
A4C1B9,2,9.0,666.1329999999997
A4C2B9,2,9.0,694.1869999999996
A4C3B9,2,9.0,722.2409999999998
A11C5B9,2,9.0,734.2079999999995
A11C4B9,2,9.0,736.2239999999996
A11C1B9,2,9.0,652.0619999999998
A11C2B9,2,9.0,680.1159999999996
A11C3B9,2,9.0,708.1699999999998
A12C5B9,2,9.0,746.2629999999995
A12C4B9,2,9.0,748.2789999999995
A12C1B9,2,9.0,664.1169999999997
A12C2B9,2,9.0,692.1709999999996
A12C3B9,2,9.0,720.2249999999998
A14C5B9,2,9.0,715.1649999999995
A14C4B9,2,9.0,717.1809999999998
A14C1B9,2,9.0,633.0189999999998
A14C2B9,2,9.0,661.0729999999996
A14C3B9,2,9.0,689.1270000000001
A9C5B9,2,9.0,743.2189999999994
A9C4B9,2,9.0,745.2349999999997
A9C1B9,2,9.0,661.0729999999996
A9C2B9,2,9.0,689.1269999999995
A9C3B9,2,9.0,717.1809999999999
A13C5B9,2,9.0,732.2359999999995
A13C4B9,2,9.0,734.2519999999995
A13C1B9,2,9.0,650.0899999999998
A13C2B9,2,9.0,678.1439999999997
A13C3B9,2,9.0,706.1979999999998
A5C5B9,2,9.0,778.3089999999994
A5C4B9,2,9.0,780.3249999999992
A5C1B9,2,9.0,696.1629999999997
A5C2B9,2,9.0,724.2169999999995
A5C3B9,2,9.0,752.2709999999995
A10C5B9,2,9.0,746.2629999999995
A10C4B9,2,9.0,748.2789999999994
A10C1B9,2,9.0,664.1169999999997
A10C2B9,2,9.0,692.1709999999996
A10C3B9,2,9.0,720.2249999999997
A15C5B9,2,9.0,760.2899999999994
A15C4B9,2,9.0,762.3059999999994
A15C1B9,2,9.0,678.1439999999997
A15C2B9,2,9.0,706.1979999999995
A15C3B9,2,9.0,734.2519999999996
A16C5B9,2,9.0,776.3329999999993
A16C4B9,2,9.0,778.3489999999996
A16C1B9,2,9.0,694.1869999999996
A16C2B9,2,9.0,722.2409999999994
A16C3B9,2,9.0,750.2949999999998
A17C5B3,2,3.0,693.1589999999998
A17C4B3,2,3.0,695.1749999999997
A17C1B3,2,3.0,611.0130000000001
A17C2B3,2,3.0,639.067
A17C3B3,2,3.0,667.121
A18C5B3,2,3.0,676.1279999999998
