Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
15A1-P11,4,11,548.8540000000005
15A1-P12,4,12,562.8810000000004
15A1-P13,4,13,576.9080000000002
15A1-P14,4,14,590.9350000000002
15A1-P15,4,15,604.9620000000001
15A1-P16,4,16,618.989
16A1-P4,4,4,534.8270000000003
16A1-P5,4,5,548.8540000000003
16A1-P6,4,6,562.8810000000002
16A1-P7,4,7,576.9080000000001
16A1-P8,4,8,590.9350000000004
16A1-P9,4,9,604.9620000000002
16A1-P10,4,10,618.9890000000001
16A1-P11,4,11,633.0160000000002
16A1-P12,4,12,647.043
16A1-P13,4,13,661.0699999999999
16A1-P14,4,14,675.0969999999999
16A1-P15,4,15,689.1239999999997
16A1-P16,4,16,703.1509999999996
17A1-P4,4,4,618.9890000000004
17A1-P5,4,5,633.0160000000003
17A1-P6,4,6,647.0430000000002
17A1-P7,4,7,661.0700000000002
17A1-P8,4,8,675.0970000000001
17A1-P9,4,9,689.124
17A1-P10,4,10,703.1509999999998
17A1-P11,4,11,717.1779999999998
17A1-P12,4,12,731.2049999999996
17A1-P13,4,13,745.2319999999995
17A1-P14,4,14,759.2589999999994
17A1-P15,4,15,773.2859999999993
17A1-P16,4,16,787.3129999999992
18A1-P4,4,4,703.1510000000004
18A1-P5,4,5,717.1780000000003
18A1-P6,4,6,731.2050000000003
18A1-P7,4,7,745.2320000000002
18A1-P8,4,8,759.2590000000001
18A1-P9,4,9,773.2860000000001
18A1-P10,4,10,787.313
18A1-P11,4,11,801.3399999999999
18A1-P12,4,12,815.3669999999992
18A1-P13,4,13,829.3939999999991
18A1-P14,4,14,843.420999999999
18A1-P15,4,15,857.447999999999
18A1-P16,4,16,871.4749999999988
19A2-P4,2,4,508.4860000000004
19A2-P5,2,5,536.5400000000003
19A2-P6,2,6,564.5940000000002
19A2-P7,2,7,592.648
19A2-P8,2,8,620.7019999999999
19A2-P9,2,9,648.7559999999997
19A2-P10,2,10,676.8099999999998
19A2-P11,2,11,704.8639999999998
19A2-P12,2,12,732.9179999999998
19A2-P13,2,13,760.9719999999996
19A2-P14,2,14,789.0259999999996
19A2-P15,2,15,817.0799999999996
19A2-P16,2,16,845.1339999999994
20A2-P4,2,4,489.4870000000003
20A2-P5,2,5,517.5410000000004
20A2-P6,2,6,545.5950000000003
20A2-P7,2,7,573.6490000000001
20A2-P8,2,8,601.703
20A2-P9,2,9,629.7569999999998
20A2-P10,2,10,657.8109999999997
20A2-P11,2,11,685.8649999999996
20A2-P12,2,12,713.9189999999994
20A2-P13,2,13,741.9729999999994
20A2-P14,2,14,770.0269999999994
20A2-P15,2,15,798.0809999999992
20A2-P16,2,16,826.1349999999992
21A2-P4,2,4,519.5570000000004
21A2-P5,2,5,547.6110000000002
21A2-P6,2,6,575.6650000000001
21A2-P7,2,7,603.7189999999999
21A2-P8,2,8,631.7729999999999
21A2-P9,2,9,659.8269999999999
21A2-P10,2,10,687.8809999999999
21A2-P11,2,11,715.9349999999998
21A2-P12,2,12,743.9889999999998
21A2-P13,2,13,772.0429999999997
21A2-P14,2,14,800.0969999999996
21A2-P15,2,15,828.1509999999995
21A2-P16,2,16,856.2049999999994
22A2-P4,2,4,491.5030000000004
22A2-P5,2,5,519.5570000000004
22A2-P6,2,6,547.6110000000002
22A2-P7,2,7,575.6650000000001
22A2-P8,2,8,603.7189999999999
22A2-P9,2,9,631.7729999999998
22A2-P10,2,10,659.8269999999997
22A2-P11,2,11,687.8809999999997
22A2-P12,2,12,715.9349999999996
22A2-P13,2,13,743.9889999999996
22A2-P14,2,14,772.0429999999996
22A2-P15,2,15,800.0969999999995
22A2-P16,2,16,828.1509999999994
23A2-P4,2,4,560.6100000000001
23A2-P5,2,5,588.664
23A2-P6,2,6,616.7179999999998
23A2-P7,2,7,644.7719999999998
23A2-P8,2,8,672.8259999999998
23A2-P9,2,9,700.8799999999998
23A2-P10,2,10,728.9339999999997
23A2-P11,2,11,756.9879999999997
23A2-P12,2,12,785.0419999999997
23A2-P13,2,13,813.0959999999995
23A2-P14,2,14,841.1499999999995
23A2-P15,2,15,869.2039999999993
23A2-P16,2,16,897.2579999999992
24A2-P4,2,4,506.5180000000004
24A2-P5,2,5,534.5720000000003
24A2-P6,2,6,562.6260000000001
24A2-P7,2,7,590.68
24A2-P8,2,8,618.7339999999998
24A2-P9,2,9,646.7879999999997
24A2-P10,2,10,674.8419999999998
24A2-P11,2,11,702.8959999999997
24A2-P12,2,12,730.9499999999997
24A2-P13,2,13,759.0039999999996
24A2-P14,2,14,787.0579999999995
24A2-P15,2,15,815.1119999999995
24A2-P16,2,16,843.1659999999994
25A2-P4,2,4,548.5990000000003
25A2-P5,2,5,576.653
25A2-P6,2,6,604.707
25A2-P7,2,7,632.761
25A2-P8,2,8,660.8149999999999
25A2-P9,2,9,688.8689999999999
25A2-P10,2,10,716.9229999999999
25A2-P11,2,11,744.9769999999999
25A2-P12,2,12,773.0309999999998
25A2-P13,2,13,801.0849999999997
25A2-P14,2,14,829.1389999999996
25A2-P15,2,15,857.1929999999994
25A2-P16,2,16,885.2469999999993
26A2-P4,2,4,548.5990000000002
26A2-P5,2,5,576.653
26A2-P6,2,6,604.707
26A2-P7,2,7,632.761
26A2-P8,2,8,660.8149999999999
26A2-P9,2,9,688.8689999999999
26A2-P10,2,10,716.9229999999999
26A2-P11,2,11,744.9769999999999
26A2-P12,2,12,773.0309999999998
26A2-P13,2,13,801.0849999999997
26A2-P14,2,14,829.1389999999996
26A2-P15,2,15,857.1929999999994
26A2-P16,2,16,885.2469999999993
27A2-P4,2,4,506.5180000000004
27A2-P5,2,5,534.5720000000003
27A2-P6,2,6,562.6260000000002
27A2-P7,2,7,590.6800000000001
27A2-P8,2,8,618.7339999999999
27A2-P9,2,9,646.7879999999998
27A2-P10,2,10,674.8419999999998
27A2-P11,2,11,702.8959999999997
27A2-P12,2,12,730.9499999999997
27A2-P13,2,13,759.0039999999997
27A2-P14,2,14,787.0579999999997
27A2-P15,2,15,815.1119999999995
27A2-P16,2,16,843.1659999999994
28A2-P4,2,4,549.5870000000002
28A2-P5,2,5,577.6410000000001
28A2-P6,2,6,605.6949999999999
28A2-P7,2,7,633.7489999999999
28A2-P8,2,8,661.8029999999999
28A2-P9,2,9,689.8569999999999
28A2-P10,2,10,717.9109999999998
28A2-P11,2,11,745.9649999999998
28A2-P12,2,12,774.0189999999998
28A2-P13,2,13,802.0729999999996
28A2-P14,2,14,830.1269999999995
28A2-P15,2,15,858.1809999999994
28A2-P16,2,16,886.2349999999992
20A3-P4,3,4,669.6270000000002
20A3-P5,3,5,711.7080000000001
20A3-P6,3,6,753.7889999999999
20A3-P7,3,7,795.8699999999997
20A3-P8,3,8,837.9509999999996
20A3-P9,3,9,880.0319999999994
20A3-P10,3,10,922.1129999999991
20A3-P11,3,11,964.1939999999988
20A3-P12,3,12,1006.2749999999988
20A3-P13,3,13,1048.3559999999986
20A3-P14,3,14,1090.4369999999983
20A3-P15,3,15,1132.517999999999
20A3-P16,3,16,1174.5989999999988
21A3-P4,3,4,699.6970000000002
21A3-P5,3,5,741.7779999999999
21A3-P6,3,6,783.8589999999997
21A3-P7,3,7,825.9399999999995
21A3-P8,3,8,868.0209999999994
21A3-P9,3,9,910.1019999999992
21A3-P10,3,10,952.1829999999992
21A3-P11,3,11,994.2639999999992
21A3-P12,3,12,1036.344999999999
21A3-P13,3,13,1078.4259999999992
21A3-P14,3,14,1120.5069999999994
21A3-P15,3,15,1162.5879999999995
21A3-P16,3,16,1204.6689999999996
22A3-P4,3,4,671.6430000000003
22A3-P5,3,5,713.7240000000002
22A3-P6,3,6,755.805
22A3-P7,3,7,797.8859999999997
22A3-P8,3,8,839.9669999999995
22A3-P9,3,9,882.0479999999992
22A3-P10,3,10,924.1289999999992
22A3-P11,3,11,966.209999999999
22A3-P12,3,12,1008.2909999999988
22A3-P13,3,13,1050.3719999999987
22A3-P14,3,14,1092.452999999999
22A3-P15,3,15,1134.5339999999992
22A3-P16,3,16,1176.6149999999996
23A3-P4,3,4,740.75
23A3-P5,3,5,782.8309999999998
23A3-P6,3,6,824.9119999999996
23A3-P7,3,7,866.9929999999994
23A3-P8,3,8,909.0739999999994
23A3-P9,3,9,951.1549999999992
23A3-P10,3,10,993.2359999999992
23A3-P11,3,11,1035.316999999999
23A3-P12,3,12,1077.3979999999992
23A3-P13,3,13,1119.4789999999994
