Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Liu_iphos,25,30,30,1,MDOA,14.44958824,72.2479412,5.0
Liu_iphos,25,30,30,1,MDOA,14.69847648,73.4923824,5.0
Liu_iphos,25,30,30,1,MDOA,14.94736471,74.73682355,5.0
Liu_iphos,25,30,30,1,MDOA,15.19625295,75.98126475,5.0
Liu_iphos,25,30,30,1,MDOA,15.44514118,77.22570590000001,5.0
Liu_iphos,25,30,30,1,MDOA,8.986556244,44.93278122,5.0
Liu_iphos,25,30,30,1,MDOA,9.484332715,47.421663575,5.0
Liu_iphos,25,30,30,1,MDOA,9.982109185,49.910545925,5.0
Liu_iphos,25,30,30,1,MDOA,10.47988565,52.39942825,5.0
Liu_iphos,25,30,30,1,MDOA,10.97766213,54.88831065,5.0
Liu_iphos,25,30,30,1,MDOA,11.4754386,57.377193000000005,5.0
Liu_iphos,25,30,30,1,MDOA,11.97321507,59.86607535,5.0
Liu_iphos,25,30,30,1,MDOA,12.47099154,62.3549577,5.0
Liu_iphos,25,30,30,1,MDOA,12.96876801,64.84384005,5.0
Liu_iphos,25,30,30,1,MDOA,13.46654448,67.3327224,5.0
Liu_iphos,25,30,30,1,MDOA,13.96432095,69.82160474999999,5.0
Liu_iphos,25,30,30,1,MDOA,14.46209742,72.31048709999999,5.0
Liu_iphos,25,30,30,1,MDOA,14.95987389,74.79936945,5.0
Liu_iphos,25,30,30,1,MDOA,8.64944727,43.247236349999994,5.0
Liu_iphos,25,30,30,1,MDOA,9.14722374,45.7361187,5.0
Liu_iphos,25,30,30,1,MDOA,9.645000211,48.22500105499999,5.0
Liu_iphos,25,30,30,1,MDOA,10.14277668,50.7138834,5.0
Liu_iphos,25,30,30,1,MDOA,10.64055315,53.202765750000005,5.0
Liu_iphos,25,30,30,1,MDOA,11.13832962,55.6916481,5.0
Liu_iphos,25,30,30,1,MDOA,11.63610609,58.18053045,5.0
Liu_iphos,25,30,30,1,MDOA,12.13388256,60.6694128,5.0
Liu_iphos,25,30,30,1,MDOA,12.63165903,63.15829515,5.0
Liu_iphos,25,30,30,1,MDOA,13.1294355,65.6471775,5.0
Liu_iphos,25,30,30,1,MDOA,13.62721197,68.13605985,5.0
Liu_iphos,25,30,30,1,MDOA,14.12498844,70.62494219999999,5.0
Liu_iphos,25,30,30,1,MDOA,14.62276491,73.11382455,5.0
Liu_iphos,25,30,30,1,MDOA,9.18299466,45.9149733,5.0
Liu_iphos,25,30,30,1,MDOA,9.68077113,48.40385565,5.0
Liu_iphos,25,30,30,1,MDOA,10.1785476,50.892738,5.0
Liu_iphos,25,30,30,1,MDOA,10.67632407,53.38162035,5.0
Liu_iphos,25,30,30,1,MDOA,11.17410054,55.8705027,5.0
Liu_iphos,25,30,30,1,MDOA,11.67187701,58.35938505,5.0
Liu_iphos,25,30,30,1,MDOA,12.16965348,60.8482674,5.0
Liu_iphos,25,30,30,1,MDOA,12.66742995,63.33714975,5.0
Liu_iphos,25,30,30,1,MDOA,13.16520642,65.8260321,5.0
Liu_iphos,25,30,30,1,MDOA,13.66298289,68.31491445,5.0
Liu_iphos,25,30,30,1,MDOA,14.16075936,70.8037968,5.0
Liu_iphos,25,30,30,1,MDOA,14.65853583,73.29267915,5.0
Liu_iphos,25,30,30,1,MDOA,15.1563123,75.7815615,5.0
Liu_iphos,25,30,30,1,MDOA,8.934106424,44.67053212,5.0
Liu_iphos,25,30,30,1,MDOA,9.431882895,47.159414475,5.0
Liu_iphos,25,30,30,1,MDOA,9.929659365,49.648296825,5.0
Liu_iphos,25,30,30,1,MDOA,10.42743584,52.1371792,5.0
Liu_iphos,25,30,30,1,MDOA,10.92521231,54.62606155,5.0
Liu_iphos,25,30,30,1,MDOA,11.42298878,57.1149439,5.0
Liu_iphos,25,30,30,1,MDOA,11.92076525,59.60382625,5.0
Liu_iphos,25,30,30,1,MDOA,12.41854172,62.0927086,5.0
Liu_iphos,25,30,30,1,MDOA,12.91631819,64.58159095,5.0
Liu_iphos,25,30,30,1,MDOA,13.41409466,67.0704733,5.0
Liu_iphos,25,30,30,1,MDOA,13.91187113,69.55935565,5.0
Liu_iphos,25,30,30,1,MDOA,14.4096476,72.048238,5.0
Liu_iphos,25,30,30,1,MDOA,14.90742407,74.53712035,5.0
Liu_iphos,25,30,30,1,MDOA,9.911419035,49.557095175,5.0
Liu_iphos,25,30,30,1,MDOA,10.40919551,52.04597755,5.0
Liu_iphos,25,30,30,1,MDOA,10.90697198,54.5348599,5.0
Liu_iphos,25,30,30,1,MDOA,11.40474845,57.02374225,5.0
Liu_iphos,25,30,30,1,MDOA,11.90252492,59.512624599999995,5.0
Liu_iphos,25,30,30,1,MDOA,12.40030139,62.00150694999999,5.0
Liu_iphos,25,30,30,1,MDOA,12.89807786,64.4903893,5.0
Liu_iphos,25,30,30,1,MDOA,13.39585433,66.97927165,5.0
Liu_iphos,25,30,30,1,MDOA,13.8936308,69.468154,5.0
Liu_iphos,25,30,30,1,MDOA,14.39140727,71.95703635,5.0
