smiles,quantified_toxicity,quantified_delivery
CCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,95,5.69
CCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,95,5.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,95,5.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,95,5.69
CCCCCCCCCCN(CCCCCCCCCC)CCOP(=O)(O)OCCCC,95,4.69
CCCCCCCCCCN(CCCCCCCCCC)CCOP(=O)(O)OCCCCC,95,4.69
CCCCCCCCCCN(CCCCCCCCCC)CCOP(=O)(O)OCCCCCC,95,4.69
CCCCCCCCCCN(CCCCCCCCCC)CCOP(=O)(O)OCCCCCCC,95,4.69
CCCCCCCCCCN(CCCCCCCCCC)CCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCCN(CCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCC,95,4.69
CCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,4.69
CCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,5.69
CCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,5.69
CCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,5.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,5.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCC)CCCCCCCCCC,95,4.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCC,95,4.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCCC,95,4.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCCCC,95,4.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCCCCC,95,4.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCC,95,4.69
CCCCCCCCCCCN(CCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCC,95,4.69
CCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCC)CCCCCCCCCCC,95,4.69
CCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCC)CCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCC)CCCCCCCCCCC,95,5.69
CCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCC)CCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCC)CCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCC)CCCCCCCCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCC,95,4.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCC,95,5.69
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCCC,95,5.69
CCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,85,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCC,95,3.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCC,95,3.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCC,95,4.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCC,95,3.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCC,95,3.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCC,95,3.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCCC,95,4.69
CCCCCCCCCCCCCN(CCCCCCCCCCCCC)CCOP(=O)(O)OCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC,95,3.69
CCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,3.69
CCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,2.69
CCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,2.69
CCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,2.69
CCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,2.69
CCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,3.69
CCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,4.69
CCCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,4.69
CCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,4.69
CCCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,3.69
CCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCC)(CCCC)CCCC,95,3.69
CCCCCC[N+](CCCCCC)(CCCCCC)CCOP(=O)(O)OCCCC,95,2.69
CCCCCC[N+](CCCCCC)(CCCCCC)CCOP(=O)(O)OCCCCC,95,2.69
CCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,2.69
CCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,2.69
CCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,3.69
CCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,3.69
CCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,3.69
CCCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,3.69
CCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,4.69
CCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,4.69
CCCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,4.69
CCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,3.69
CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](CCCCCC)(CCCCCC)CCCCCC,95,3.69
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCOP(=O)(O)OCCCC,95,3.69
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCOP(=O)(O)OCCCCC,95,2.69
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCOP(=O)(O)OCCCCCC,95,3.69
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCOP(=O)(O)OCCCCCCC,95,3.69
CCCCCCCCOP(=O)(O)OCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,95,3.69
