lipid_id,smiles,score_mean,score_std,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail
n-HHSK-n-u(HDA),CC/C=C\C/C=C\C/C=C\CCCCCC(=O)NCCCCC(NC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)O,6.314460125448028,6.527259097964777,6.8806779752747484,9.0,40.0,6.839200000000007,0.5471698113207547,260.39,9.0,9.0,70.0,971.620810552,273.9484999999994,2.0,6.0,16.0
PrOHA-HHK-n-s1(10),CCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCO,6.313956093189964,4.803876072191316,6.668324813005211,9.0,34.0,4.438900000000008,0.7317073170731707,223.08999999999997,8.0,8.0,56.0,785.5527309920001,217.1686999999993,2.0,0.0,10.0
Pr2A-HK-S-s2(7/9),CCCCCCCCCC(CCCCCCC)C(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)C(CCCCCCC)CCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCN,6.312303987455197,1.5952610596704453,6.954197927987945,9.0,50.0,7.862300000000011,0.8421052631578947,269.76,10.0,10.0,74.0,1045.8242613839998,296.67989999999975,2.0,0.0,17.0
Et2A-HKK-n-s2(7/7),CCCCCCCC(CCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCCC)CCCCCCC)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCN,6.311547939068101,8.895145402316642,6.836712450625773,9.0,45.0,8.57140000000001,0.8461538461538461,226.22000000000003,8.0,8.0,66.0,929.7769172679999,270.3979999999991,3.0,0.0,15.0
Et2A-KHK-n-u(Lin),CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCC/C=C\C/C=C\CCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCCN)C(=O)NCCN,6.309867831541219,4.669703819698614,6.887007525194589,9.0,47.0,9.524000000000006,0.7142857142857143,226.22000000000003,8.0,8.0,70.0,977.7769172679999,288.6299999999994,3.0,4.0,18.0
BuOHA-SSKK-n-u(Hyp),CCCCCCCC/C=C\CCCCCC(=O)NCCCCC(NC(=O)CCCCC/C=C\CCCCCCCC)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCCCCO,6.306283602150538,7.984349079705226,6.901175680821191,7.0,49.0,6.7290000000000125,0.8148148148148148,261.31,10.0,10.0,70.0,991.766077812,281.4259999999992,1.0,2.0,16.0
BuOHA-SSHK-n-s2(5/5),CCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(CO)C(=O)NCCCCO,6.304379480286739,2.942427896504493,6.795957421360305,8.0,39.0,3.6048000000000093,0.8043478260869565,263.96999999999997,10.0,10.0,63.0,892.636126268,243.92429999999916,1.0,0.0,11.0
n-HSHK-n-s2(7/7),CCCCCCCC(CCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCCC)CCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)O,6.304295474910394,4.947102280274342,6.893029383249296,9.0,44.0,7.89500000000001,0.7735849056603774,260.39,9.0,9.0,70.0,983.714710936,274.3724999999992,2.0,0.0,15.0
EtOHA-HHK-n-s1(14),CCCCCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCO,6.303035394265233,5.742251632027618,6.785887035214458,9.0,41.0,7.169600000000009,0.7708333333333334,223.08999999999997,8.0,8.0,63.0,883.6622814399999,249.48769999999914,2.0,0.0,14.0
Et2A-KHK-n-s1(11),CCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCCN)C(=O)NCCN,6.302531362007168,7.781775181037707,6.673490111127417,9.0,37.0,4.958600000000008,0.8095238095238095,226.22000000000003,8.0,8.0,56.0,789.620416628,224.36799999999928,3.0,0.0,11.0
PrOHA-KSK-S-u(HDA),CC/C=C\C/C=C\C/C=C\CCCCCC(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCCO,6.302195340501792,7.8196488939215,6.964541012274204,8.0,47.0,3.92000000000001,0.6607142857142857,310.63999999999993,12.0,12.0,75.0,1056.719855892,295.4494999999998,1.0,6.0,16.0
PrOHA-HK-K-u(HDA),CC/C=C\C/C=C\C/C=C\CCCCCC(=O)NCCCCC(NC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)C(=O)NCCCCC(NC(=O)C(CCCCNC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)NC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCO,6.299227150537634,5.260208237742941,7.331221392439853,10.0,72.0,17.48669999999998,0.6153846153846154,281.71,10.0,10.0,110.0,1525.1430763159997,455.42910000000194,1.0,12.0,16.0
n-HSK-S-s1(8),CCCCCCCC(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)CCCCCCC)C(=O)NC(CO)C(=O)NC(Cc1c[nH]cn1)C(=O)O,6.29788306451613,4.355705695843087,6.682063483650242,8.0,32.0,-0.5547999999999873,0.7297297297297297,301.27,11.0,11.0,56.0,796.469454868,204.4510999999995,1.0,0.0,8.0
n-KK-S-s1(16),CCCCCCCCCCCCCCCC(=O)NC(CO)C(=O)NCCCCC(NC(=O)C(CO)NC(=O)CCCCCCCCCCCCCCC)C(=O)NC(CCCCN)C(=O)O,6.297603046594982,10.79589208406234,6.831253212501024,6.0,47.0,7.37290000000001,0.88,249.27999999999997,9.0,9.0,65.0,924.7238786519999,259.92029999999903,1.0,0.0,16.0
Bu2A-HKK-n-u(HDA),CC/C=C\C/C=C\C/C=C\CCCCCC(=O)NCCCCC(NC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCN,6.29317876344086,3.2794897468836965,6.8537002798593925,9.0,43.0,8.295800000000009,0.6296296296296297,226.22000000000003,8.0,8.0,68.0,945.7143170119999,279.20799999999934,3.0,6.0,16.0
n-RK-V-s1(15),CCCCCCCCCCCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCCCCCCCCCCC)C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)O)C(C)C,6.290098566308243,4.502418285886455,6.856905044323864,8.0,45.0,9.054370000000006,0.8653846153846154,244.7,9.0,7.0,67.0,948.7714975399999,272.4360999999992,1.0,0.0,15.0
Bu2A-RHK-n-s2(6/10),CCCCCCCCCCC(CCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCC)CCCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCNC(=N)N)C(=O)NCCCCN,6.289818548387097,8.476026758229622,6.950429636817654,11.0,51.0,10.046270000000005,0.8448275862068966,262.1,10.0,8.0,74.0,1041.8769656519999,304.34539999999964,3.0,0.0,17.0
Et2A-RHK-n-s1(17),CCCCCCCCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCCCCCCCC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCNC(=N)N)C(=O)NCCN,6.288306451612902,9.709029768774634,6.895166370141723,11.0,49.0,8.774070000000007,0.8333333333333334,262.1,10.0,8.0,70.0,985.8143653959999,286.01739999999927,3.0,0.0,17.0
Bu2A-SKK-V-u(HDA),CC/C=C\C/C=C\C/C=C\CCCCCC(=O)NC(C(=O)NCCCCC(NC(=O)C(NC(=O)CCCCC/C=C\C/C=C\C/C=C\CC)C(C)C)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NCCCCN)C(C)C,6.288250448028674,5.549263031047142,6.99904100790018,9.0,48.0,7.603900000000012,0.6885245901639344,275.96999999999997,10.0,10.0,78.0,1093.824261384,317.53950000000003,2.0,6.0,16.0
BuOHA-SKK-n-s2(5/9),CCCCCCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCCCCCC)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NCCCCO,6.287970430107526,10.40459336292348,6.813879669689303,6.0,46.0,8.411700000000007,0.9019607843137255,211.98,8.0,8.0,64.0,908.76534954,262.4574999999991,1.0,0.0,15.0
PrOHA-KK-K-s1(13),CCCCCCCCCCCCC(=O)NCCCCC(NC(=O)CCCCCCCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCNC(=O)CCCCCCCCCCCC)NC(=O)CCCCCCCCCCCC)C(=O)NC(CCCCN)C(=O)NCCCO,6.278673835125447,6.655526019095944,7.225588453959168,9.0,74.0,15.656699999999972,0.8987341772151899,279.05,10.0,10.0,97.0,1372.1791274759996,401.76680000000135,1.0,0.0,13.0
BuOHA-HRK-n-s2(5/9),CCCCCCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCCCCCC)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]cn1)C(=O)NCCCCO,6.278001792114695,6.176806938610921,6.896162339786252,10.0,47.0,8.519470000000005,0.8333333333333334,256.31,10.0,8.0,70.0,986.7983809839999,283.90879999999925,2.0,0.0,15.0
PrOHA-KK-n-s2(7/7),CCCCCCCC(CCCCCCC)C(=O)NCCCCC(NC(=O)C(CCCCCCC)CCCCCCC)C(=O)NC(CCCCN)C(=O)NCCCO,6.277161738351254,11.769929238278502,6.696158555718209,5.0,42.0,9.544500000000001,0.9148936170212766,162.65,6.0,6.0,57.0,807.717671076,238.82399999999902,1.0,0.0,15.0
n-HKK-n-s2(5/5),CCCCCC(CCCCC)C(=O)NCCCCC(NC(=O)C(CCCCC)CCCCC)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]cn1)C(=O)O,6.277077732974911,7.760143647725283,6.65559606539916,7.0,35.0,6.460300000000007,0.8095238095238095,208.4,7.0,7.0,55.0,775.593533184,219.03369999999927,2.0,0.0,11.0
