Experiment_ID,IL_SMILES,Index,LNP_ID,Formulation_ID,IL_name,IL_molratio,IL_to_nucleicacid_massratio,IL_to_nucleicacid_chargeratio,HL_name,HL_SMILES,HL_molratio,CHL_name,CHL_SMILES,CHL_molratio,PEG_name,PEG_SMILES,PEG_molratio,Aqueous_buffer,Dialysis_buffer,Mixing_method,Model_type,Model_target,Cargo,Cargo_type,Dose_ug_nucleicacid,Experiment_method,Experiment_value,Publication_link,Publication_PMID,Heavy.Atoms,Rings,Aromatic.Rings,Rotatable.Bonds,van.der.Waals.Molecular.Volume,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,LogP,Molar.Refractivity,Fraction.sp3.Carbons,sp3.Carbons,Nitrogen.Count,lnMolWt,has_ester,has_carbonate,has_disulfide,molwtlog1p,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Cargo_mRNA,Cargo_pDNA,Cargo_siRNA,num_protonatable_nitrogens,Num_carbon_in_tail,num_unsaturated_cc_bonds,num_permanent_cationic_N,formal_net_charge,rel
AA_2008,CCCCCCCCCCCCCCNC(=O)CCN(CCOCC)CCC(=O)NCCCCCCCCCCCCCC,11,LNP_0000011,AA_2008_F11,11_N14,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,44,0,0,36,623.5964933239999,70.67,2,4,9.7397,190.34239999999937,0.9473684210526315,36,3,6.4362336982307315,0,0,0,6.437834846275473,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,2
AA_2008,CCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCO)CCO)CCC(=O)NCCCCCCCCCCCCCC,12,LNP_0000012,AA_2008_F12,87_N14,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,49,0,0,40,696.649257168,105.14000000000001,4,6,8.379900000000006,209.0779999999992,0.9512195121951219,39,4,6.546996292397172,0,0,0,6.54842968230814,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,0,0,0,2
AA_2008,CCCCCCCCCCCCCCNC(=O)CCN(CCO)CCN(CCC(=O)NCCCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCCCC,13,LNP_0000013,AA_2008_F13,109_N14,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,64,0,0,53,905.863607032,114.01000000000002,4,6,13.20489999999998,276.07989999999916,0.9454545454545454,52,5,6.8096175052994825,0,0,0,6.810720012070299,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,0,0,0,2
AA_2008,CCCCCCCCCCCCCCCCNC(=O)CCN(CCN(CCC(=O)NCCCCCCCCCCCCCCCC)C(C)C)C(C)C,14,LNP_0000014,AA_2008_F14,62_N16,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,52,0,0,41,734.7376782480001,64.68,2,4,12.382399999999985,229.2953999999989,0.9565217391304348,44,4,6.600256819139506,0,0,0,6.6016159138655786,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0,0,0,2
AA_2008,CCCCCCCCCCCCCCCCNC(=O)CCN(C)CCCN(C)CCC(=O)NCCCCCCCCCCCCCCCC,15,LNP_0000015,AA_2008_F15,63_N16,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,49,0,0,40,692.690728056,64.68,2,4,11.21529999999999,215.48839999999907,0.9534883720930233,41,4,6.541322885587423,0,0,0,6.542764424939523,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,0,0,0,2
AA_2008,CCCCCCCCCCCCOC(=O)CCN(CCCN(CC)CC)CCC(=O)OCCCCCCCCCCCC,16,LNP_0000016,AA_2008_F16,81_O12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,2.550592491,https://www.nature.com/articles/nbt1402,18438401.0,43,0,0,34,610.5648588480001,59.08,0,6,9.7287,183.6849999999994,0.9459459459459459,35,2,6.415111689014011,1,0,0,6.416746988286548,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,1
AA_2008,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN1CCOCC1,17,LNP_0000017,AA_2008_F17,90_O12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,2.550592491,https://www.nature.com/articles/nbt1402,18438401.0,43,1,0,31,610.52847334,68.31,0,7,8.329000000000008,178.53899999999948,0.9444444444444444,34,2,6.415039674388464,1,0,0,6.416675091334459,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,1
AA_2008,CCCCCCCCCCCCOC(=O)CCN(C)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,18,LNP_0000018,AA_2008_F18,95_O12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,2.550592491,https://www.nature.com/articles/nbt1402,18438401.0,56,0,0,45,794.7111887280001,85.38000000000001,0,8,12.782799999999984,236.1969999999988,0.9375,45,2,6.67870431320346,1,0,0,6.679960929452499,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,0,1
AA_2008,CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CC(O)CO,19,LNP_0000019,AA_2008_F19,24_O12,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,2.550592491,https://www.nature.com/articles/nbt1402,18438401.0,40,0,0,31,571.4811887999999,96.30000000000001,2,7,7.35000000000001,164.37259999999972,0.9393939393939394,31,1,6.348936173610869,1,0,0,6.350683252939357,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,1
AA_2008,CCCCCCCCCCCCCOC(=O)CCN(CCO)CCN(CCO)CCC(=O)OCCCCCCCCCCCCC,20,LNP_0000020,AA_2008_F20,103_O13,42.0,5.0,,,,0.0,Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,48.0,DMG-PEG2000,CCCCCCCCCCCCCC(=O)OCC(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)OC(=O)CCCCCCCCCCCCC,10.0,acetate,,handmixed,HeLa,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,2.550592491,https://www.nature.com/articles/nbt1402,18438401.0,46,0,0,37,656.5703381519999,99.54,2,8,8.06360000000001,191.12559999999937,0.9473684210526315,36,2,6.487735767526123,1,0,0,6.489256601722902,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,0,0,1
