IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail,Dose_ug_nucleicacid,Sample_weight
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.772464625479566,3,44,15.614199999999968,0.9090909090909092,80.22999999999999,1,7,62,871.8105088399999,268.63169999999894,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-1.345938476123994,0,35.0,16.0,46.5,2.5,10.0,6.772464625479566,3,47,15.615799999999966,0.9090909090909092,80.22999999999999,1,7,62,871.8105088399999,268.65369999999893,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-0.2810932383302653,0,35.0,16.0,46.5,2.5,10.0,6.801839053390586,3,45,16.148399999999967,0.912280701754386,80.22999999999999,1,7,64,897.826158904,275.75169999999906,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,3.404970780062441,3,35.0,16.0,46.5,2.5,10.0,6.6659129908603845,3,34,10.534899999999997,0.8297872340425532,97.74,0,9,56,783.6125373119999,229.63099999999895,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,3.801570006586688,3,35.0,16.0,46.5,2.5,10.0,6.683619986054745,3,35,10.924999999999995,0.8333333333333334,97.74,0,9,57,797.6281873759999,234.24799999999897,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,3.6628675234877166,3,35.0,16.0,46.5,2.5,10.0,6.718120243781916,3,34,11.70359999999999,0.84,97.74,0,9,59,825.6594875039999,243.45999999999887,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.6480009057836,3,35,12.10829999999999,0.8541666666666666,80.22999999999999,1,7,55,769.669658264,234.87669999999892,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,0,35.0,16.0,46.5,2.5,10.0,6.6480009057836,3,38,12.109899999999987,0.8541666666666666,80.22999999999999,1,7,55,769.669658264,234.8986999999989,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCC#CCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,0,35.0,16.0,46.5,2.5,10.0,6.681204680267808,3,36,12.642499999999984,0.86,80.22999999999999,1,7,57,795.6853083279999,241.99669999999887,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.60003375119263,3,34,9.9753,0.9069767441860463,97.74,0,9,52,733.596887248,212.71499999999904,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,12,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,0.2140315992398948,1,35.0,16.0,46.5,2.5,10.0,6.618935225942658,3,35,10.365399999999996,0.9090909090909092,97.74,0,9,53,747.612537312,217.331999999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,12,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,3.801570006586688,3,35.0,16.0,46.5,2.5,10.0,6.655699004172555,3,34,11.143999999999991,0.9130434782608696,97.74,0,9,55,775.64383744,226.54399999999893,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,12,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.580890146001539,3,35,11.54869999999999,0.9318181818181818,80.22999999999999,1,7,51,719.6540081999999,217.960699999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,12,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.580890146001539,3,38,11.55029999999999,0.9318181818181818,80.22999999999999,1,7,51,719.6540081999999,217.982699999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,12,0.05,1.0
CCCCCCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.616358314856864,3,36,12.082899999999988,0.9347826086956522,80.22999999999999,1,7,53,745.669658264,225.08069999999896,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,12,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.774669501342221,3,42,13.873099999999976,0.9245283018867924,97.74,0,9,62,873.7533878879999,258.8409999999988,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.79056619190337,3,43,14.263199999999976,0.925925925925926,97.74,0,9,63,887.7690379519998,263.4579999999989,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC1(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.821620971799765,3,42,15.04179999999997,0.9285714285714286,97.74,0,9,65,915.8003380799998,272.66999999999905,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.758618176811218,3,43,15.446499999999968,0.9444444444444444,80.22999999999999,1,7,61,859.8105088399999,264.08669999999887,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC(C=NCCCC)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,0,35.0,16.0,46.5,2.5,10.0,6.758618176811218,3,46,15.448099999999968,0.9444444444444444,80.22999999999999,1,7,61,859.8105088399999,264.10869999999886,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.05,1.0
CCCCCCCCC(CCCCCCCC)OC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OC(CCCCCCCC)CCCCCCCC)NCCN1CCCC1,-2.0177810199521136,0,35.0,16.0,46.5,2.5,10.0,6.788396126906561,3,44,15.980699999999963,0.9464285714285714,80.22999999999999,1,7,63,885.826158904,271.206699999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.549905359315415,3,34,12.781499999999983,0.8666666666666667,45.14,0,5,50,697.648528896,218.310999999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.569768896620608,3,35,13.17159999999998,0.8695652173913043,45.14,0,5,51,711.66417896,222.927999999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.60835009189084,3,34,13.950199999999976,0.875,45.14,0,5,53,739.695479088,232.13999999999888,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC(C=NC(C)(C)C)(CCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.0022533906995668,1,35.0,16.0,46.5,2.5,10.0,6.5297676825184805,3,35,14.354899999999974,0.8913043478260869,27.630000000000003,1,3,49,683.7056498479999,223.55669999999895,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC(C=NCCCC)(CCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.5297676825184805,3,38,14.356499999999974,0.8913043478260869,27.630000000000003,1,3,49,683.7056498479999,223.57869999999895,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCC(C=NC1CCCCC1)(CCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.567061946055704,3,36,14.889099999999967,0.8958333333333334,27.630000000000003,1,3,51,709.721299912,230.67669999999893,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OC)N1CCN1CCCCC1,2.5643053595581797,2,35.0,16.0,46.5,2.5,10.0,6.812792738744174,3,42,14.150599999999974,0.7857142857142857,97.74,0,9,65,907.737737824,272.35999999999916,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OCC)N1CCN1CCCCC1,3.3024481957105025,2,35.0,16.0,46.5,2.5,10.0,6.828099329841209,3,43,14.540699999999973,0.7894736842105263,97.74,0,9,66,921.753387888,276.97699999999924,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCCC1,1.998009925761776,2,35.0,16.0,46.5,2.5,10.0,6.8580270749908845,3,42,15.319299999999968,0.7966101694915254,97.74,0,9,68,949.784688016,286.18899999999945,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCCC1,-0.4578109423564123,0,35.0,16.0,46.5,2.5,10.0,6.797346486635593,3,43,15.723999999999965,0.8070175438596491,80.22999999999999,1,7,64,893.794858776,277.60569999999916,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCCC1,-1.345938476123994,0,35.0,16.0,46.5,2.5,10.0,6.797346486635593,3,46,15.725599999999964,0.8070175438596491,80.22999999999999,1,7,64,893.794858776,277.62769999999915,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.826009288211848,3,44,16.258199999999967,0.8135593220338984,80.22999999999999,1,7,66,919.81050884,284.7256999999993,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCCC1,2.2173670704941206,2,35.0,16.0,46.5,2.5,10.0,6.817216597452694,3,44,14.598599999999973,0.8571428571428571,97.74,0,9,65,911.7690379519998,272.5479999999991,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCCC1,1.400192953034997,2,35.0,16.0,46.5,2.5,10.0,6.832456136127739,3,45,14.988699999999971,0.8596491228070176,97.74,0,9,66,925.784688016,277.1649999999992,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
