Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
A376_C13,2,13,678.0550000000005,0,1
A359_C13,2,13,669.9540000000006,0,1
A147_C13,4,13,1139.826999999999,0,2
A348_C13,2,13,619.9470000000006,0,1
A127_C13,4,13,1131.847999999999,0,2
A145_C13,4,13,1125.799999999999,0,2
A149_C13,4,13,1139.8269999999989,0,2
A330_C13,2,13,660.0370000000005,0,1
A390_C13,2,13,708.0810000000005,0,1
A369_C13,2,13,642.0220000000003,0,1
A151_C13,4,13,1175.8599999999994,0,2
A312_C13,2,13,608.0050000000002,0,1
A323_C13,2,13,658.0650000000004,0,1
A328_C13,2,13,644.0380000000005,0,1
A381_C13,2,13,692.0820000000004,0,1
A392_C13,3,13,947.4839999999996,0,2
A325_C13,2,13,631.9830000000005,0,1
A386_C13,2,13,694.0540000000005,0,1
A332_C13,2,13,646.0100000000004,0,1
A317_C13,2,13,636.0590000000001,0,1
A236_C13,2,13,623.0200000000002,0,2
A153_C13,6,13,1652.607,0,3
A230_C13,2,13,673.0360000000004,0,1
A300_C13,2,13,639.0630000000002,0,2
A33_C13,2,13,611.9930000000004,0,1
A181_C13,2,13,581.9670000000004,0,1
A188_C13,2,13,595.9940000000004,0,1
A305_C13,4,13,1091.7829999999988,0,2
A189_C13,2,13,638.0750000000002,0,1
A13_C13,2,13,613.9650000000005,0,1
A22_C13,2,13,597.9660000000005,0,1
A315_C13,4,13,1187.9559999999988,0,2
A319_C13,2,13,674.1080000000001,0,1
A339_C13,2,13,690.0630000000003,0,1
A356_C13,2,13,651.9640000000005,0,1
A155_C13,4,13,1159.9019999999991,0,2
A143_C13,4,13,1159.9019999999991,0,2
A347_C13,4,13,1153.8539999999991,0,2
A351_C13,2,13,633.9740000000005,0,1
A343_C13,4,13,1139.826999999999,0,2
A314_C13,2,13,622.0320000000002,0,1
A350_C13,2,13,633.9740000000005,0,1
A345_C13,4,13,1139.826999999999,0,2
A326_C13,2,13,646.0100000000004,0,1
A334_C13,2,13,660.0370000000004,0,1
A232_C13,2,13,623.0200000000002,0,2
A154_C13,3,13,863.4069999999992,0,2
A15_C13,2,13,609.9770000000003,0,1
A234_C13,2,13,637.0470000000001,0,2
A7_C13,2,13,640.0030000000004,0,1
A231_C13,2,13,619.9760000000003,0,1
A238_C13,3,13,920.458999999999,0,2
A186_C13,2,13,610.0210000000003,0,1
A185_C13,2,13,595.9940000000004,0,1
A385_C13,2,13,720.1360000000004,0,1
A131_C13,2,13,650.0860000000001,0,1
A132_C13,2,13,664.113,0,1
A338_C13,2,13,690.0630000000003,0,1
A331_C13,2,13,660.0370000000004,0,1
A352_C13,2,13,648.0010000000004,0,1
A6_C13,2,13,625.9760000000003,0,1
A108_C13,2,13,653.0900000000003,0,2
A78_C13,2,13,596.9820000000003,0,2
A503_C13,4,13,1205.9749999999992,0,4
A500_C13,4,13,1191.9479999999992,0,4
A113_C13,4,13,1134.851999999999,0,3
A501_C13,4,13,1220.001999999999,0,4
A301_C13,3,13,865.4229999999993,0,2
A340_C13,3,13,899.4399999999994,0,2
A341_C13,3,13,913.4669999999992,0,2
A99_C13,4,13,1077.7559999999987,0,2
A123_C13,3,13,922.518999999999,0,3
A114_C13,5,13,1375.2389999999994,0,3
A98_C13,6,13,1672.722,0,4
A111_C13,7,13,1970.2050000000008,0,5
A156_C13,8,13,2267.688000000001,0,6
A200_C13,5,13,1487.4149999999995,0,5
A115_C13,4,13,1289.1489999999988,0,3
A110_C13,6,13,1672.722,0,4
A86_C13,2,13,657.0340000000002,0,2
A76_C13,2,13,623.0200000000001,0,2
A82_C13,2,13,637.047,0,2
A205_C13,3,13,892.448999999999,0,3
A502_C13,4,13,1189.931999999999,0,4
