IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_permanent_cationic_N,formal_net_charge,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,2.205244227,3,22.24425783,29.18405814,47.60902794,0.962656086,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,-1.401169513,0,63.24136708,9.203172128,22.94960884,4.605851952,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.863322835,1,53.99055628,9.368545249,33.85105203,2.78984644,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.726080875,1,44.04423808,27.09434024,24.06337713,4.798044552,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.32842059,2,63.197555,12.85921618,23.01677835,0.926450473,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.649835341,1,41.2922497,18.92483177,35.02413976,4.758778764,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,1.015813902,1,43.32010317,28.34803079,23.60112886,4.730737182,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.924319262,1,47.34305321,28.24294903,23.46826946,0.945728307,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,2.068002266,3,29.53917194,19.44135761,48.12550966,2.893960784,15.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1.0
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,0.832824622,1,22.25854467,29.17028437,43.69787117,4.873299793,5.0,6.902382873420428,4,54,13.481,0.966666667,145.6,6,8,70,992.9207876,297.3786,False,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1.0
