experiment_1,experiment_2,mean_tanimoto,max_tanimoto
Yu_Aminoglycoside,Miao_3CR,0.12366579611792423,0.20408163265306123
Yu_Aminoglycoside,Li_3CR,0.14119726364499316,0.2571428571428571
Lee_unsat,Zhang_Aminoglycoside,0.09954478913900643,0.1896551724137931
Lee_unsat,Farbiak_Dendrimer_HeLa,0.609612246796883,0.8936170212765957
Lee_unsat,Farbiak_Dendrimer_igrov1,0.609612246796883,0.8936170212765957
Lee_unsat,Han_amidine,0.25838558827005614,0.45901639344262296
Lee_unsat,Han_branched,0.24734376763823254,0.43859649122807015
Lee_unsat,Han_a3,0.13289119105369918,0.34328358208955223
Lee_unsat,Lin_peptide,0.18375425340933832,0.423728813559322
Lee_unsat,Liu_iphos,0.1612240123341597,0.43333333333333335
Lee_unsat,AGILE,0.22134732027894946,0.3787878787878788
Lee_unsat,Li_pulmonary,0.27862410355954764,0.5405405405405406
Lee_unsat,Miao_3CR,0.14903491420120998,0.35384615384615387
Lee_unsat,Li_3CR,0.18049628367129222,0.37662337662337664
Zhang_Aminoglycoside,Farbiak_Dendrimer_HeLa,0.1497388462899657,0.1774193548387097
Zhang_Aminoglycoside,Farbiak_Dendrimer_igrov1,0.1497388462899657,0.1774193548387097
Zhang_Aminoglycoside,Han_amidine,0.12903340241714892,0.19672131147540983
Zhang_Aminoglycoside,Han_branched,0.1774043681391767,0.32558139534883723
Zhang_Aminoglycoside,Han_a3,0.10098156175674887,0.22807017543859648
Zhang_Aminoglycoside,Lin_peptide,0.1612507270461349,0.2653061224489796
Zhang_Aminoglycoside,Liu_iphos,0.13348030045265258,0.2127659574468085
Zhang_Aminoglycoside,AGILE,0.15171131100857282,0.21875
Zhang_Aminoglycoside,Li_pulmonary,0.14329471708547456,0.21739130434782608
Zhang_Aminoglycoside,Miao_3CR,0.12655524478901986,0.22641509433962265
Zhang_Aminoglycoside,Li_3CR,0.12229956546018612,0.19718309859154928
Farbiak_Dendrimer_HeLa,Farbiak_Dendrimer_igrov1,0.9955106621773288,1.0
Farbiak_Dendrimer_HeLa,Han_amidine,0.3631718366343338,0.4426229508196721
Farbiak_Dendrimer_HeLa,Han_branched,0.3527933175526546,0.3728813559322034
Farbiak_Dendrimer_HeLa,Han_a3,0.16939364690472797,0.3064516129032258
Farbiak_Dendrimer_HeLa,Lin_peptide,0.265522015216831,0.41935483870967744
Farbiak_Dendrimer_HeLa,Liu_iphos,0.24016863331967958,0.3333333333333333
Farbiak_Dendrimer_HeLa,AGILE,0.2657315131636049,0.36363636363636365
Farbiak_Dendrimer_HeLa,Li_pulmonary,0.2973429160915468,0.46153846153846156
Farbiak_Dendrimer_HeLa,Miao_3CR,0.19761855430136746,0.29850746268656714
Farbiak_Dendrimer_HeLa,Li_3CR,0.1955097995362446,0.2564102564102564
Farbiak_Dendrimer_igrov1,Han_amidine,0.3631718366343338,0.4426229508196721
Farbiak_Dendrimer_igrov1,Han_branched,0.3527933175526546,0.3728813559322034
Farbiak_Dendrimer_igrov1,Han_a3,0.16939364690472797,0.3064516129032258
Farbiak_Dendrimer_igrov1,Lin_peptide,0.265522015216831,0.41935483870967744
Farbiak_Dendrimer_igrov1,Liu_iphos,0.24016863331967958,0.3333333333333333
Farbiak_Dendrimer_igrov1,AGILE,0.2657315131636049,0.36363636363636365
Farbiak_Dendrimer_igrov1,Li_pulmonary,0.2973429160915468,0.46153846153846156
Farbiak_Dendrimer_igrov1,Miao_3CR,0.19761855430136746,0.29850746268656714
Farbiak_Dendrimer_igrov1,Li_3CR,0.1955097995362446,0.2564102564102564
Han_amidine,Han_branched,0.2215402392541275,0.3125
Han_amidine,Han_a3,0.11531404295260564,0.35384615384615387
Han_amidine,Lin_peptide,0.20576621255258232,0.43548387096774194
Han_amidine,Liu_iphos,0.24179179308893464,0.4126984126984127
Han_amidine,AGILE,0.3359149281859303,0.5
Han_amidine,Li_pulmonary,0.27192346562567904,0.4117647058823529
Han_amidine,Miao_3CR,0.19748543746199806,0.373134328358209
Han_amidine,Li_3CR,0.24140756308597178,0.45714285714285713
Han_branched,Han_a3,0.1556625641994728,0.3541666666666667
Han_branched,Lin_peptide,0.32287819295512543,0.5227272727272727
Han_branched,Liu_iphos,0.23343912827593236,0.4186046511627907
Han_branched,AGILE,0.2697124488265355,0.532258064516129
Han_branched,Li_pulmonary,0.3016236091347496,0.6101694915254238
Han_branched,Miao_3CR,0.22319009490639616,0.43103448275862066
Han_branched,Li_3CR,0.18923692105780263,0.40789473684210525
Han_a3,Lin_peptide,0.1375621028365732,0.27586206896551724
Han_a3,Liu_iphos,0.1349196092450877,0.3684210526315789
Han_a3,AGILE,0.11132338704695936,0.2564102564102564
Han_a3,Li_pulmonary,0.13533583347009714,0.34146341463414637
Han_a3,Miao_3CR,0.13316622833024244,0.30158730158730157
Han_a3,Li_3CR,0.11932833018062111,0.3194444444444444
Lin_peptide,Liu_iphos,0.23646736602238724,0.35185185185185186
