Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,mRNA/Cells
Han_a3,40.0,19.150604838709693,36.849993534204096,1.7097660000000012,DOPE,10,30.0,3.0
Han_a3,38.06710847747564,20.787634408602145,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,40.0,20.629368279569896,39.6954610112505,1.8417900000000005,DOPE,10,30.0,3.0
Han_a3,35.4474768368639,20.78763440860215,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,30.24073460778432,20.787634408602152,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,33.389464594127794,20.787634408602145,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,28.99865937918945,20.78763440860215,40.0,1.8559199999999991,DOPE,10,30.0,3.0
Han_a3,24.413671719304354,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,32.769248901207305,20.787634408602145,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,28.529692873687267,20.78763440860215,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,24.08042638204868,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,29.84180428495971,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,26.284784405199694,20.78763440860215,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,22.461246326139023,20.787634408602145,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,31.001132525531936,20.78763440860215,40.0,1.8559199999999991,DOPE,10,30.0,3.0
Han_a3,27.18006396963201,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,23.111781913005817,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,29.948564028707327,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,26.367575009110436,20.787634408602152,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,22.521674709168465,20.78763440860215,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,21.208454035893674,20.787634408602152,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,18.534586069699447,20.787634408602145,40.0,1.8559199999999991,DOPE,10,30.0,3.0
Han_a3,15.706565686698903,20.78763440860215,40.0,1.8559199999999996,DOPE,10,30.0,3.0
Han_a3,28.076927440857784,20.78763440860215,40.0,1.85592,DOPE,10,30.0,3.0
Han_a3,24.905844201593062,20.78763440860215,40.0,1.8559199999999991,DOPE,10,30.0,3.0
Han_a3,21.446561266603467,20.787634408602145,40.0,1.8559199999999996,DOPE,10,30.0,3.0
